symbol,type,strike,cycle,from,to,multiple,start,end,bars,dte_at_low,stock_1h_before,moneyness_at_low
ASHOKLEY,CALL,120.0,202507,0.4,1.8,4.5,2025-07-31 10:00:00,2025-07-31 14:00:00,11,0,-1.9278096800656397,-0.29166666666665675
ICICIBANK,CALL,1350.0,202601,6.15,27.5,4.471544715447155,2025-12-26 15:15:00,2026-01-02 14:45:00,27,34,0.08890205956437747,0.07407407407407085
DIXON,CALL,13500.0,202503,39.1,172.8,4.419437340153453,2025-03-27 10:00:00,2025-03-27 11:30:00,6,0,1.613329307872302,-0.2759259259259239
DIXON,CALL,16750.0,202507,26.5,116.55,4.39811320754717,2025-07-31 12:30:00,2025-07-31 12:45:00,1,0,0.9729860397655221,-0.2507462686567208
KAYNES,CALL,3600.0,202604,52.75,232.0,4.398104265402844,2026-03-27 15:00:00,2026-04-01 10:15:00,2,34,-1.1136040275801729,0.39166666666665684
ASIANPAINT,CALL,2400.0,202507,0.9,3.95,4.388888888888889,2025-07-31 14:15:00,2025-07-31 14:30:00,1,0,-0.42809642560266425,-0.1791666666666747
GODREJPROP,CALL,1500.0,202604,19.65,86.1,4.3816793893129775,2026-03-27 14:30:00,2026-04-01 13:45:00,3,34,-0.27150519833123443,0.40000000000000036
PGEL,CALL,580.0,202601,5.3,23.0,4.339622641509434,2025-12-26 15:15:00,2025-12-31 12:45:00,5,34,-1.2659303313508952,0.181034482758613
IOC,CALL,130.0,202503,0.15,0.65,4.333333333333334,2025-03-27 13:45:00,2025-03-27 15:00:00,4,0,-0.19319938176197704,-0.6538461538461493
DIXON,CALL,16500.0,202504,30.0,129.5,4.316666666666666,2025-04-24 10:45:00,2025-04-24 12:15:00,6,0,-0.22437841115827695,-0.2848484848484878
COFORGE,CALL,1200.0,202604,2.85,12.25,4.298245614035087,2026-04-28 09:30:00,2026-04-28 14:30:00,20,2,-0.5574043261231343,-0.39166666666666794
HINDZINC,CALL,450.0,202504,1.55,6.65,4.290322580645161,2025-04-23 14:45:00,2025-04-24 09:30:00,3,1,0.5845323741007213,-0.8000000000000007
VEDL,CALL,500.0,202510,0.7,3.0,4.285714285714286,2025-10-28 14:30:00,2025-10-28 15:15:00,2,2,-0.7744536388712087,-0.029999999999996696
LAURUSLABS,CALL,540.0,202502,1.05,4.5,4.285714285714286,2025-02-27 11:45:00,2025-02-27 13:30:00,7,0,-1.7714547957778715,-0.9074074074074012
HCLTECH,CALL,1660.0,202601,9.65,41.35,4.284974093264249,2025-12-26 15:00:00,2026-01-09 09:30:00,15,34,0.0722586860962382,0.11445783132530973
HEROMOTOCO,CALL,4250.0,202507,9.25,39.35,4.254054054054055,2025-07-31 10:30:00,2025-07-31 12:30:00,8,0,0.12787118162442823,-0.5082352941176538
HCLTECH,CALL,1170.0,202605,0.85,3.6,4.235294117647059,2026-05-26 12:15:00,2026-05-26 12:30:00,1,2,0.30866843865215987,-0.008547008546999635
RELIANCE,CALL,1420.0,202602,1.3,5.5,4.230769230769231,2026-02-24 13:30:00,2026-02-24 14:30:00,1,2,-0.16864591385004069,0.04929577464789503
KEI,CALL,4150.0,202604,43.8,184.4,4.210045662100457,2026-03-27 12:15:00,2026-04-07 11:30:00,16,34,0.09606147934677622,0.4337349397590451
IREDA,CALL,170.0,202506,0.75,3.15,4.2,2025-06-25 09:15:00,2025-06-25 14:15:00,20,1,0.8537758537758622,-1.329411764705879
NMDC,CALL,83.0,202601,0.72,3.0,4.166666666666667,2025-12-26 13:00:00,2025-12-31 10:30:00,6,34,-0.14440433212995485,-0.024096385542160537
HCLTECH,CALL,1720.0,202506,0.7,2.9,4.142857142857143,2025-06-26 09:30:00,2025-06-26 09:45:00,1,0,0.046603751602014576,-0.15116279069766758
RBLBANK,CALL,160.0,202502,0.75,3.1,4.133333333333334,2025-02-25 15:15:00,2025-02-27 13:45:00,1,2,-1.3391739674593284,-1.4625
KALYANKJIL,CALL,450.0,202510,5.6,23.1,4.125000000000001,2025-09-26 14:00:00,2025-09-30 15:15:00,4,34,-0.9137950016514296,0.0
UNIONBANK,CALL,135.0,202510,1.3,5.35,4.115384615384615,2025-09-26 13:15:00,2025-10-03 14:00:00,5,34,-0.6830701432243846,0.16296296296296475
LAURUSLABS,CALL,610.0,202503,0.95,3.9,4.105263157894737,2025-03-27 14:15:00,2025-03-27 14:45:00,2,0,-0.09836065573770592,-0.09836065573770592
TORNTPOWER,CALL,1300.0,202601,9.65,39.5,4.093264248704663,2025-12-26 13:15:00,2025-12-31 12:30:00,8,34,0.5477549760839251,0.25384615384616005
GLENMARK,CALL,2000.0,202601,13.1,53.5,4.083969465648855,2025-12-26 13:00:00,2026-01-09 15:00:00,1,34,-0.03485535029627007,0.38000000000000256
